"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
Stock ID: 124-1053 ,,,,,,,
15-Sep-25 ,108 Raf Coffee Beater,,1,1,1800,"1,800",Shahid Sahab Haseeb Traders
15-Sep-25 ,108 Raf Coffee Beater,,33,33,1800,"59,400",Shahid Sahab Haseeb Traders
15-Sep-25 ,108 Raf Coffee Beater,,1,1,1800,"1,800",Shahid Sahab Haseeb Traders
15-Sep-25 ,108 Raf Coffee Beater,,1,1,1800,"1,800",Shahid Sahab Haseeb Traders
,,,,36.00,,"64,800.00",
Stock ID: 124-1054 ,,,,,,,
15-Sep-25 ,410 Panasonic Blender,,12,12,1725,"20,700",Sitara Trading Company
,,,,12.00,,"20,700.00",
Stock ID: 124-10544 ,,,,,,,
09-Dec-25 ,01 Tap ,,348,348,1900,"661,200",Kamran Hall Road
,,,,348.00,,"661,200.00",
Stock ID: 124-1055 ,,,,,,,
15-Sep-25 ,552 ND National Chopper,,8,8,5133,"41,064",National Distributor
,,,,8.00,,"41,064.00",
Stock ID: 124-10554 ,,,,,,,
10-Dec-25 ,400 Kenwood 3in1 Juicer,,3,3,3800,"11,400",Sitara Trading Company
,,,,3.00,,"11,400.00",
Stock ID: 124-10555 ,,,,,,,
10-Dec-25 ,Kettle China National,,320,320,780,"249,600",Sitara Trading Company
,,,,320.00,,"249,600.00",
Stock ID: 124-10556 ,,,,,,,
09-Dec-25 ,20 MH National Microwave Oven,,100,100,11300,"1,130,000",Multy Net Mehdi Bhai
,,,,100.00,,"1,130,000.00",
Stock ID: 124-10557 ,,,,,,,
10-Dec-25 ,Kettle China National,,80,80,790,"63,200",Zia & Company
,,,,80.00,,"63,200.00",
Stock ID: 124-10558 ,,,,,,,
10-Dec-25 ,15 MD Dawlance Microwave Oven,,60,60,12000,"720,000",Shahbaz Electronics Sialkot
10-Dec-25 ,15 MD Dawlance Microwave Oven,,50,50,12000,"600,000",Shahbaz Electronics Sialkot
,,,,110.00,,"1,320,000.00",
Stock ID: 124-10559 ,,,,,,,
10-Dec-25 ,113 St National Special Iron,,300,300,1560,"468,000",Haider Sahab Iron
,,,,300.00,,"468,000.00",
Stock ID: 124-10560 ,,,,,,,
10-Dec-25 ,Kettle China National,,420,420,780,"327,600",Multy Net Mehdi Bhai
,,,,420.00,,"327,600.00",
Stock ID: 124-10561 ,,,,,,,
10-Dec-25 ,15 MD Dawlance Microwave Oven,,100,100,12000,"1,200,000",Ali Ahmad Mustafa Center
,,,,100.00,,"1,200,000.00",
Stock ID: 124-10562 ,,,,,,,
10-Dec-25 ,333 Angeleno 3in1 Juicer,,1,1,18500,"18,500",Angeleno Madina Bara Center
,,,,1.00,,"18,500.00",
Stock ID: 124-10607 ,,,,,,,
10-Dec-25 ,297 Dawlance Microwave Oven,,25,25,18300,"457,500",Hussnain Shah Sahab Abid Market
,,,,25.00,,"457,500.00",
Stock ID: 124-10608 ,,,,,,,
10-Dec-25 ,5760 Raf Top Hot Plate,,90,90,3100,"279,000",Yaseen Sahab Sogo Walai
,,,,90.00,,"279,000.00",
Stock ID: 124-10610 ,,,,,,,
10-Dec-25 ,4 MD Black Dawlance Microwave Oven,,45,45,13400,"603,000",Hussnain Shah Sahab Abid Market
10-Dec-25 ,7 MD Dawlance Microwave  Oven,,20,20,13700,"274,000",Hussnain Shah Sahab Abid Market
,,,,65.00,,"877,000.00",
Stock ID: 124-10617 ,,,,,,,
10-Dec-25 ,8222 Kemie Hair Dryer,,2,2,2800,"5,600",Ali Ahmad Madina Bara Center
